ID_BINDUNG_NEW,ID_PERSON_NEW,ID_PERSON,BINDUNGSKATEGORIE,INSTITUTION,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
10803_BINDUNG_1,10803,Meyer-Sallenbach_Rudolf_1846__,,,,,,,,
10804_BINDUNG_2,10804,Curti_Theodor_1848_12_24,Polit. Amt,Regierungsrat St. Gallen,,,1894,,,1902
10804_BINDUNG_1,10804,Curti_Theodor_1848_12_24,Polit. Amt,Nationalrat,5,12,1881,30,11,1902
10805_BINDUNG_1,10805,Baumann-Hess_Hermann_1853__,,,,,,,,
10806_BINDUNG_1,10806,Krebs_Werner_1854__,,,,,,,,
10807_BINDUNG_1,10807,Stutz_Eduard_1842__,,,,,,,,
10827_BINDUNG_1,10827,Usteri-Pestalozzi_Eduard_1851__,,,,,,,,
10828_BINDUNG_1,10828,Bollinger_Rudolf_1856__,Polit. Amt,Gemeinderat Zürich,,,1893,,,1896
10832_BINDUNG_1,10832,Fischer_Heinrich_1852__,,,,,,,,
10835_BINDUNG_1,10835,Trachsler_Adolf_1847__,,,,,,,,
10837_BINDUNG_1,10837,Müller_Gustav_1837__,,,,,,,,
10839_BINDUNG_1,10839,Schäppi_Adolf_1836__,Polit. Amt,Gemeinderat Schwamendingen,,,,,,
10843_BINDUNG_1,10843,Spillmann_Heinrich_1842__,,,,,,,,
10855_BINDUNG_1,10855,Schulthess_Adolf_1845__,,,,,,,,
10857_BINDUNG_1,10857,Stadler_Salomon_1842__,,,,,,,,
10858_BINDUNG_1,10858,Schleuss_Johann_Ulrich_1830__,,,,,,,,
